"sender","sender_type","sender_id","Participant_Consent","if-you-would-like-to-receive-a-general-summary-of-the-results-from-this-study-when-it-is-completed-please-provide-your-email-address-below:","","ended_on","duration","time_run","time_render","time_show","time_end","time_commit","timestamp","time_switch","please-record-the-makemodel-and-(diagonal)-screen-size-of-the-device-you-are-using-to-complete-the-experiment-(e.g.-macbook-pro-13.3-in):","how-are-you-controlling-the-cursor-on-your-device-1","how-are-you-controlling-the-cursor-on-your-device-2","how-are-you-controlling-the-cursor-on-your-device-3","what-is-your-age-(years)","vision:","sex:","throw-a-ball:","brush-your-teeth:","eat-soup-with-a-spoon:","comb-your-hair:","cut-bread-with-a-knife:","swing-a-tennisbadminton-racquet-or-bat:","hammer-a-nail:","point-to-something-accurately:","write-your-name:","control-the-cursor-when-using-a-computer:","do-you-play-any-eye-hand-coordination-sports","if-yes-which-sports-do-you-play","Horizontal_Pos","Vertical_Pos","response","response_action","P_Size_L","P_Size_R","P_Size","Position","meta.labjs_version","meta.location","meta.userAgent","meta.platform","meta.language","meta.locale","meta.timeZone","meta.timezoneOffset","meta.screen_width","meta.screen_height","meta.scroll_width","meta.scroll_height","meta.window_innerWidth","meta.window_innerHeight","meta.devicePixelRatio","meta.labjs_build.flavor","meta.labjs_build.commit"
"Consent Form","html.Page","0","1","","","form submission",23298.1,2479,2491.24,2507.9,25806,25808,"2020-07-08T16:08:18.721Z",25821.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.0.1","https://rwlang.github.io/Circle-Size-Experiment/","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0","Win32","en-US","en-US","America/New_York",240,1536,864,1536,702,1536,750,1.25,"production","2b713552c16bc7aa9c6da31a44bae8ef1cdc6804"
"Debrief No Consent","html.Page","1",NA,NA,NA,"skipped",NA,25815,NA,NA,25806,25815,"2020-07-08T16:08:18.729Z",25821.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demographics","html.Page","2",NA,NA,"","form submission",74366.44,25815,25804.9,25821.56,100188,100189,"2020-07-08T16:09:33.102Z",100212.04,"Windows, 15.6"" ",TRUE,FALSE,FALSE,"30","1","2","2","2","2","2","2","2","2","2","2","2","2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fullscreen","html.Screen","3",NA,NA,NA,NA,2097.96000000001,100190,100195.38,100212.04,102310,102310,"2020-07-08T16:09:35.223Z",102328.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instructions_1","html.Page","4",NA,NA,"","form submission",9213.62,102310,102311.76,102328.38,111542,111543,"2020-07-08T16:09:44.456Z",111560.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instructions 1.5","html.Page","5",NA,NA,"","form submission",4826.42,111543,111543.92,111560.58,116387,116387,"2020-07-08T16:09:49.301Z",116409.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calibration","canvas.Screen","6_0_0",NA,NA,"Right","response",3334.02,116388,116393.32,116409.98,119744,119749,"2020-07-08T16:09:52.663Z",119776.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","0","Center","click @Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mask","canvas.Screen","6_0_1",NA,NA,"Right","timeout",199.87999999999,119750,119759.58,119776.24,119959.46,119960,"2020-07-08T16:09:52.874Z",119976.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sequence","flow.Sequence","6_0",NA,NA,"Right","completion",3549.48000000001,116387,116393.32,116409.98,119959.46,119960,"2020-07-08T16:09:52.874Z",119976.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"200","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calibration","canvas.Screen","6_1_0",NA,NA,"High","response",2329.88,119961,119959.46,119976.12,122306,122324,"2020-07-08T16:09:55.237Z",122342.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","-150","Center","click @Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
