,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Size_L,P_Size_R,P_Size,Position,sender,,                                                                                                                                                                                                                                                                                                                                             xpos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Consent Form,,1                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Debrief No Consent,NA,2                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Demographics,,3                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Fullscreen,NA,4                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Instructions_1,,5                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Instructions 1.5,,6                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Calibration,Right,7                                                                                                                                                                                       1359,1298,1225,1149,1096,1032,1021,1011,1005,1003,992,988,983,981,979,975,967,964,962,959,957,955,954,953,951,951,950,950,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7                                                                                                                                                                                                 935,893,826,739,663,575,562,545,531,529,524,522,518,517,515,513,509,508,507,506,506,506,506,506,504,503,503,502,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Mask,Right,8                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Sequence,Right,9                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9                                                                                                                                                                                                                                                                                                                                            NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Calibration,High,10                                                                                                                                                                                 941,921,899,852,825,806,787,781,777,774,772,769,765,763,762,761,761,759,757,755,754,753,752,752,751,751,751,750,750,750,749,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10                                                                                                                                                                                 498,487,473,442,430,414,398,392,388,386,381,379,373,370,369,369,367,363,360,359,358,358,357,356,355,354,353,353,352,351,351,350,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Mask,High,11                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Sequence,High,12                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Calibration,Left,13                                                                                                                                                                                      740,720,702,667,640,624,613,606,601,598,597,596,594,591,588,583,579,575,569,565,563,562,559,558,557,555,552,551,550,550,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13                                                                                                                                                                                      355,371,389,426,455,468,475,478,481,482,483,483,485,487,488,489,490,490,492,494,494,495,497,497,498,498,498,498,498,499,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Mask,Left,14                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Sequence,Left,15                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Calibration,Center,16                                                                                                                                                   554,561,580,603,643,670,718,735,746,755,758,760,762,762,762,762,762,762,762,762,759,754,750,747,746,745,744,744,744,745,747,748,749,749,749,749,749,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16                                                                                                                                                   504,507,511,513,515,517,527,533,539,541,541,540,539,538,531,524,517,515,513,512,510,508,506,505,505,505,505,504,503,500,495,494,494,495,496,497,498,499,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Mask,Center,17                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Sequence,Center,18                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Calibration,Low,19                                                                                                                               749,749,749,749,750,750,751,755,756,759,762,764,765,765,765,765,766,766,766,765,764,764,763,762,757,753,752,751,751,751,751,751,751,751,751,751,751,751,751,750,750,750,,,,,,,,,,,,,,,,,,,,,,,,,,19                                                                                                                               504,510,530,548,579,595,604,616,623,628,633,639,642,644,646,647,648,652,656,659,660,661,661,661,661,661,660,660,659,658,656,654,653,651,649,648,647,648,649,649,650,651,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Mask,Low,20                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Sequence,Low,21                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Screen Setup,NA,22                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Instructions_2,,23                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,NA,NA,NA,Instructions_3,,24                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3 (Big).png,NA,NA,Start Button,NA,25                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P_Small_3.png,Control_3 (Big).png,NA,NA,Mask,NA,26                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26                                                                                                                                                                                                                                                                                                                                           NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
