"sender","sender_type","sender_id","Participant_Consent","if-you-would-like-to-receive-a-general-summary-of-the-results-from-this-study-when-it-is-completed-please-provide-your-email-address-below:","","ended_on","duration","time_run","time_render","time_show","time_end","time_commit","timestamp","time_switch","please-record-the-makemodel-and-(diagonal)-screen-size-of-the-device-you-are-using-to-complete-the-experiment-(e.g.-macbook-pro-13.3-in):","how-are-you-controlling-the-cursor-on-your-device-1","how-are-you-controlling-the-cursor-on-your-device-2","how-are-you-controlling-the-cursor-on-your-device-3","what-is-your-age-(years)","if-yes-which-sports-do-you-play","Horizontal_Pos","Vertical_Pos","response","response_action"
"Consent Form","html.Page","0","1","","","form submission",11523.0589999471,1101.04499995941,1094.484,1111.306,12634.3649999471,12636.7099999916,"2020-07-06T20:14:19.032Z",12680.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Debrief No Consent","html.Page","1",NA,NA,NA,"skipped",NA,12648.5799999791,NA,NA,12634.3649999471,12649.0449999692,"2020-07-06T20:14:19.045Z",12680.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demographics","html.Page","2",NA,NA,"","form submission",3957.77899998115,12649.4899999816,12614.005,12680.856,16638.6349999812,16639.0549999778,"2020-07-06T20:14:23.035Z",16648.361,"",FALSE,FALSE,FALSE,"","",NA,NA,NA,NA
"Fullscreen","html.Screen","3",NA,NA,NA,NA,1460.83399996817,16639.439999999,16631.918,16648.361,18109.1949999682,18110.5149999494,"2020-07-06T20:14:24.506Z",18165.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instructions_1","html.Page","4",NA,NA,"","form submission",2176.86299996243,18112.6199999708,18099.129,18165.422,20342.2849999624,20343.5699999682,"2020-07-06T20:14:26.739Z",20366.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Instructions 1.5","html.Page","5",NA,NA,"","form submission",999.899999952893,20344.4399999571,20332.692,20366.02,21365.9199999529,21367.4899999751,"2020-07-06T20:14:27.763Z",21399.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calibration","canvas.Screen","6_0_0",NA,NA,"Right","response",2007.01099998972,21369.6049999562,21349.728,21399.574,23406.5849999897,23413.4499999927,"2020-07-06T20:14:29.809Z",23450.068,NA,NA,NA,NA,NA,NA,"200","0","Center","click @Center"
"Mask","canvas.Screen","6_0_1",NA,NA,"Right","timeout",200.405000000002,23415.85999995,23416.889,23450.068,23633.665,23636.9849999901,"2020-07-06T20:14:30.033Z",23650.473,NA,NA,NA,NA,NA,NA,"200","0",NA,NA
"Sequence","flow.Sequence","6_0",NA,NA,"Right","completion",2234.091,21369.2999999621,21349.728,21399.574,23633.665,23638.8399999705,"2020-07-06T20:14:30.034Z",23650.473,NA,NA,NA,NA,NA,NA,"200","0",NA,NA
"Calibration","canvas.Screen","6_1_0",NA,NA,"High","response",2574.35699996282,23639.6499999682,23633.665,23650.473,26224.8299999628,26226.5249999473,"2020-07-06T20:14:32.622Z",26250.762,NA,NA,NA,NA,NA,NA,"0","-150","Center","click @Center"
"Mask","canvas.Screen","6_1_1",NA,NA,"High","timeout",200.124,26227.4699999834,26217.414,26250.762,26434.358,26436.5949999774,"2020-07-06T20:14:32.832Z",26450.886,NA,NA,NA,NA,NA,NA,"0","-150",NA,NA
"Sequence","flow.Sequence","6_1",NA,NA,"High","completion",2783.885,23639.4549999968,23633.665,23650.473,26434.358,26437.8299999516,"2020-07-06T20:14:32.833Z",26450.886,NA,NA,NA,NA,NA,NA,"0","-150",NA,NA
